Code LPP;Libellé;Tarif;Prix unitaire réglementé;Date début validité;Date fin validité
1201700;C03.17;6.66;0.0;07/07/2023;03/07/2023
1251840;LIT MEDICAL, FORFAIT DE LIVRAISON DU LIT AVEC OU SANS ACCESSOIRES;0.0;0.0;08/09/2003;02/12/2009
1204220;APPAREIL DE SOUTIEN PARTIEL DE LA TETE;0.0;0.0;07/07/2023;03/07/2023
1227332;A07;6.66;0.0;09/12/2006;03/08/2009
1286978;VPH, LCD, FORFAIT DE LOCATION HEBDOMADAIRE FMPR, 14 A 26 SEMAINES INCLUSES;0.0;0.0;08/09/2003;01/02/2006
1252815;A04.21;1.35;0.0;13/05/2019;06/07/2023
1243510;LIT, COMPRESSEUR POUR SURMATELAS PNEUMATIQUE, FORFAIT DE LIVRAISON;1.75;0.0;07/07/2023;30/03/2024
1280562;A04.21;1.35;0.0;08/03/2017;06/07/2023
1251460;A04.32;2.97;0.0;07/07/2023;03/07/2023
1261725;A04.32;2.97;0.0;01/11/2016;06/07/2023
1228857;A04.23;4.94;0.0;07/07/2023;16/07/2023
1277749;LIT MEDICAL, LIT STANDARD OU ENFANT, FORFAIT DE LIVRAISON DU LIT ET ACCESSOIRES;2.3;0.0;14/10/2013;06/07/2023
1273415;A04.21;1.35;0.0;08/03/2017;06/07/2023
1249523;A04.28;2.27;0.0;13/05/2019;06/07/2023
1146349;ESCARRES, COUSSIN PNEUMATIQUE, CLASSE II, SYST'AM, POLYAIR P301C;0.0;0.0;10/08/2009;06/07/2023
1230972;C03.17;6.66;0.0;09/12/2006;06/07/2023
1247665;C03.23;1.36;0.0;01/01/2021;26/06/2023
1217374;ESCARRES, MATELAS AIR MOTORISE, MEDIDEV, SENTRY 1200 ST LIVRAISON SANS LIT.;1.7;0.0;11/02/2019;06/07/2023
1264764;A04.28;2.27;0.0;07/07/2023;02/01/2024
1283365;ESCARRES MATELAS EN MOUSSE VISCOELASTIQUE, CLASSE II, WINNCARE, VITAFORM;2.97;0.0;08/03/2017;06/07/2023
1290968;ESCARRES, COUSSIN PNEUMATIQUE, CLASSE II, SYST'AM, POLYAIR P302C;0.0;0.0;10/08/2009;06/07/2023
1215702;C03.12;0.0;0.0;08/09/2003;01/02/2006
1273875;A04.23;4.94;0.0;01/11/2016;06/07/2023
1252206;A04.28;2.3;0.0;09/12/2006;19/12/2016
1286955;A04.28;2.27;0.0;13/02/2017;06/07/2023
1265166;C08.11;0.0;0.0;07/07/2023;01/12/2025
1283537;C08.11;1.02;0.0;20/05/2013;04/09/2013
1371030;PANSEMENT, FIXATION, BANDE, CREPE, COTON, 4 M X 10 CM,LABOKIT;9.91;0.0;15/11/2024;14/11/2025
1397620;B01.22;8.15;0.0;01/07/2021;06/07/2023
1330277;PELOTE INGUINALE OU CRURALE SANS SOUS-CUISSE - B33N - SUR MESURE;0.0;0.0;15/07/2025;26/06/2025
1351173;B01.52;0.0;0.0;01/07/2021;06/07/2023
4933507;E00.05;0.0;0.0;15/07/2025;26/06/2025
4933505;BAS CUISSE EN 21 EN SERIE ELASTIQUE EN 2 SENS - V4;0.0;0.0;15/07/2025;26/06/2025
2187356;CORRECTION ORTHOPEDIQUE, PIED, ATTELLE RELEVEUR DE PIED DE SERIE,ORTHONOV;0.0;0.0;01/01/2023;06/07/2023
3283613;ENDOPROTHESE POUR EMBOLISATION, MEDTRONIC, PIPELINE VANTAGE, DIAM 2,5;7.86;0.0;02/01/2026;10/12/2024
3120510;HANCHE, CUPULE BIPOLAIRE MOBILE OU CUPULE FEMORALE UNIPOLAIRE;2.87;0.0;01/01/2020;06/07/2023
3186293;HANCHE, COTYLE STD, 1 MOB, MODULR, METAL-BACK, INSERT-, CIMENTE-,I.CERAM;5.32;0.0;01/09/2025;23/07/2025
3133262;ENDOPROTHESE NUE AUTO-EXPANSIBLE,MEDICUT STENT;6.5;0.0;07/07/2023;31/03/2025
3127942;LIGAMENT ARTICULAIRE ARTIFICIEL, SYSTEME FIXATION OU SERTISSAGE,COMPANION SPINE;6.0;0.0;01/09/2025;23/07/2025
3104987;IMPLANT CMF, PLAQUE NASALE PREFORMEE, POUR GENIOPLASTIE,ZIMMER BIOMET;1.23;0.0;07/07/2023;31/08/2025
3144314;RECONSTRUCTION MASSIVE BASSIN, MODULAIRE, INSERT, IMPLANTCAST, ECOFIT 2M;1.56;0.0;21/05/2005;15/03/2006
3130950;DOIGT, IMPLANT METACARPIEN OU METATARSIEN, MODULAIRE, TIGE;5.68;0.0;01/01/2020;06/07/2023
3107460;IMPLANT OSSEUX ANATOMIQUE, CHIRURGIE ORTHOPEDIQUE, F. HOSPITALIERES, EUROCER;7.17;0.0;08/09/2003;01/03/2005
3121810;HANCHE, COTYLE STANDARD, MONOBLOC, CERAMIQUE MASSIVE, CIMENTE;5.04;0.0;01/01/2020;06/07/2023
3280106;LIGAMENT ARTICULAIRE ARTIFICIEL DU RACHIS, DE REMPLACEMENT OU DE RENFORT;2.32;0.0;07/07/2023;03/07/2023
3288310;GENOU, PROTHESE TOTALE SPECIALE REALISEE A L UNITE;4.2;0.0;01/01/2020;06/07/2023
3137283;ALLOGREFFE VASCULAIRE, NON SAPHENE, CRYOCONSERVEE,EFS;1.56;0.0;07/07/2023;01/01/2024
3104830;GENOU, IMPL BICOMPARTIMENT OU INSERT TIBIAL EN POLYETHYLENE SEUL,FH ORTHOPEDICS;3.24;0.0;01/09/2025;23/07/2025
3101606;GENOU, EMBASE TIBIALE UNICOMPARTIMENT, METALLIQUE, NON CIMENTEE,GRP BIOIMPIANTI;5.07;0.0;01/09/2025;23/07/2025
3120762;EPAULE, TETE OU CALOTTE SEULE METALLIQUE,LINK WALDEMAR;2.73;0.0;01/09/2025;23/07/2025
3170665;GENOU, IMPLANT TIBIAL BICOMPARTIMENTAL, EMBASE METALLIQUE, NON CIMENTEE;8.76;0.0;01/01/2020;06/07/2023
3120041;HANCHE, COTYLE STD, MONOBLOC, POLYMERE MASSIF, CIMENTE,UNITED ORTHOPED;8.93;0.0;01/05/2019;06/07/2023
3150450;RACHIS, IMPLANT D UNION TRANSVERSALE,ISOTIS;6.12;0.0;01/07/2021;06/07/2023
3151254;HANCHE, TIGE DE REPRISE, COL INCLUS, DROITE, MODULAIRE, CIMENTEE;7.83;0.0;01/01/2020;06/07/2023
3133180;RACHIS, PROTHESE DISQUE LOMBAIRE, LDR, MOBIDISC, PLATEAU INFERIEUR.;7.7;0.0;07/07/2023;03/07/2023
3198994;HANCHE, COTYLE, MONOBLOC MIXTE, ALLIAGE METALLIQUE, ZIMMER, METASUL;1.02;0.0;24/11/2010;18/11/2013
3107916;RACHIS, CAGE INTERSOMATIQUE OU EQUIVALENT,FOURN HOSP IND;4.48;0.0;01/05/2019;01/01/2022
3131903;HANCHE, IMPLANT SUR MESURE, TIGE SPECIALE,FRANCEMED;2.11;0.0;01/05/2019;06/07/2023
3114939;EPAULE, TIGE SPECIALE,IMPLANTCAST;2.09;0.0;07/07/2023;31/08/2025
3196009;A03.11;1.31;0.0;02/04/2018;20/09/2021
3122169;HANCHE, TIGE DE RECONSTRUCTION, COL INCLUS, DROITE, NON CIMENTEE,SOC ETU REC FAB;1.16;0.0;01/07/2022;06/07/2023
3189200;HANCHE, ANNEAU DE SOUTIEN OU FOND DE COTYLE;2.26;0.0;01/01/2020;06/07/2023
3145785;EPAULE, TETE OU CALOTTE SEULE EN POLYETHYLENE,EVOLUTIS;8.26;0.0;01/02/2026;11/01/2025
3192017;DOIGT, IMPLANT METACARPIEN OU METATARSIEN, CUPULE,3SORTHO;3.56;0.0;01/05/2019;06/07/2023
3112917;ACCESSOIRE, VIS DE FIXATION POUR IMPLANT ARTICULAIRE,LINK WALDEMAR;6.12;0.0;07/07/2023;03/07/2023
3122382;RACHIS, IMPLANT D'UNION LONGITUDINALE, PLAQUE,MEDICREA;1.66;0.0;01/05/2019;06/07/2023
3283866;RECONSTRUCTION TIBIALE, MODULAIRE, CHARNIERE FIXE HAP, STRYKER, METS.;3.8;0.0;07/07/2023;03/07/2023
3294350;ENDOPROTHESE CORONAIRE LIB. RIDAFOROLIMUS, VASCULAR, ELUNIR, DIAM 3,00.;4.3;0.0;01/07/2024;30/06/2025
3299531;J01.15;8.34;0.0;21/05/2005;20/03/2009
3107862;HANCHE, ANNEAU DE SOUTIEN OU FOND DE COTYLE,FRANCEMED;2.26;0.0;01/05/2019;06/07/2023
3163659;GENOU, IMPL TIBIAL BICOMPART, EMBASE METALLIQUE, NON CIMENTEE,SOC ETU REC FAB;8.76;0.0;07/07/2023;31/08/2025
3287396;ENDOPROTHESE POUR EMBOLISATION, MEDTRONIC, PIPELINE VANTAGE, DIAM 2,5;8.4;0.0;02/01/2025;01/01/2026
3116588;HANCHE, COTYLE STD, 1 MOB, MODULR, METAL-BACK, INSERT-, CIMENTE-,LINK S.A.R.L.;5.4;0.0;07/07/2023;31/08/2025
3104148;E03.82;1.1;0.0;01/01/2020;06/07/2023
3136421;E04.23;7.47;0.0;21/05/2005;15/03/2006
3292747;ENDOPROTHESE POUR EMBOLISATION, MEDTRONIC, PIPELINE VANTAGE, DIAM 2,5;8.94;0.0;07/07/2023;01/01/2025
3298649;CHEVILLE, IMPLANT INTERMEDIAIRE OU COUSSIN;1.84;0.0;21/05/2005;04/10/2005
3132446;ENDOPROTHESE POUR EMBOLISATION, MEDTRONIC, PIPELINE FLEX, DIAM 3,25.;8.94;0.0;07/07/2023;01/01/2025
3163300;HANCHE, TIGE DE REPRISE, COL INCLUS, DROITE, MODULAIRE, NON CIMENTEE;8.84;0.0;01/01/2020;06/07/2023
3140150;IMPLANT MAMMAIRE, ROND, GEL, LISSE, EUROSILICONE, PERLE.;3.35;0.0;01/10/2025;17/09/2025
3135663;HANCHE, TIGE DE REPRISE, COL INCLUS, DROITE, MODULR, NON CIMENTE,GROUPE LEPINE;8.84;0.0;01/05/2019;06/07/2023
3128290;IMPLANT CRANIO-MAXILLO-FACIAL, PLAQUE, CONSTRUCTION TOTALE DE LA MANDIBULE;5.43;0.0;07/07/2023;31/08/2025
3151047;RACHIS, IMPLANT DUNION LONGITUDINALE, CONNECTEUR,SILONY MEDICAL;6.57;0.0;07/07/2023;03/07/2023
3143148;HANCHE, TIGE STANDARD, COL INCLUS,;6.15;0.0;07/07/2023;31/08/2025
3111390;HANCHE, TIGE DE REPRISE, COL INCLUS, DROITE, MODULR, NON CIMENTE,MED PARTNER;8.84;0.0;01/05/2019;06/07/2023
3151627;E01.721;1.55;0.0;07/07/2023;03/07/2023
3211275;ENDOPROTHESE CORONAIRE, STENT LIB. BIOLIMUS, CARDINAL, LUMENO ALPHA, 3,5 MM.;6.14;0.0;21/05/2005;20/03/2009
3131079;IMPLANT PLASTIE ENDOCANALAIRE, DIGESTIVE, METALLIQUE NU.;8.78;0.0;07/07/2023;01/01/2024
3110657;J03.211;3.26;0.0;21/05/2005;15/03/2006
3137768;GENOU, CALE DE RATTRAPAGE;2.49;0.0;01/01/2020;06/07/2023
3170984;HANCHE, TETE ET TETE A JUPE ALLIAGE METALLIQUE, BIOMET MERCK, REF. 650-01XX;3.74;0.0;24/09/2007;31/03/2008
3135692;RACHIS, IMPLANT D ANCRAGE, CROCHET, PINCE-CROCHET,ULRICH MED;1.37;0.0;01/05/2019;06/07/2023
3125653;DOIGT, IMPLANT METACARPIEN OU METATARSIEN, MONOBLOC, METALLIQUE OU MIXTE;6.33;0.0;01/01/2020;06/07/2023
3111556;GENOU, EMBASE DE REPRISE, CIMENTEE,EUROS;9.87;0.0;07/07/2023;31/08/2025
3181752;IMPLANT OSSEUX, ANATOMIQUE, CHIRURGIE ORTHOPEDIQUE,ULRICH MED;2.09;0.0;07/07/2023;31/08/2025
3164890;CLIPS SUR BARETTE, NON RESTERILISABLES;1.4;0.0;21/05/2005;15/03/2006
3128657;J03.44;1.52;0.0;08/09/2003;01/03/2005
3187134;IMPLANT VASCULAIRE DE PONTAGE NON TEXTILE, BIFURQUE OU MULTIFURQUE;7.76;0.0;07/06/2006;01/03/2014
3162950;AGRAFAGE, TETE ARTICULEE, SUTURE ET ANASTOMOSE LINEAIRES;3.42;0.0;21/05/2005;15/03/2006
3191845;IMPLANT NEUROLOGIQUE, VALVE D'HYDROCEPHALIE PREREGLEE, REGULATION DE DEBIT;3.98;0.0;21/05/2005;15/03/2006
3155855;GENOU, IMPLANT FEMORAL, BICONDYLIEN, NON CIMENTE;1.4;0.0;01/01/2020;06/07/2023
3140931;SYSTEME DE POSE A CLIPS SANS SECTION, POUR CHIRURGIE CONVENTIONNELLE;8.57;0.0;21/05/2005;15/03/2006
3122608;IMPLANT OSSEUX ANATOMIQUE, CHIRURGIE NON ORTHOPEDIQUE, ORTHOTECHNIQUE,OSTEOSET T;1.52;0.0;21/05/2005;02/08/2006
3161130;HANCHE, INSERT EN POLYMERE MASSIF,EUROS;6.12;0.0;01/07/2021;06/07/2023
3110539;IMPLANT CRANIO-MAXILLO-FACIAL, PLAQUE NON DROITE,ZIMMER BIOMET;5.87;0.0;07/07/2023;31/08/2025
3101405;OSTEOSYNTHESE, VIS D'INTERFERENCE, RESORBABLE, LIGAMENTOPLASTIE,FH ORTHOPEDICS;2.02;0.0;01/09/2025;23/07/2025
3157570;GENOU, PROTHESE TOTALE SPECIALE REALISEE A L'UNITE,FRANCEMED;4.2;0.0;07/07/2023;03/07/2023
3183633;LIGAMENT ARTICULAIRE ARTIFICIEL, SYSTEME FIXATION OU SERTISSAGE,NEOMEDTECH;1.04;0.0;01/09/2025;23/07/2025
3131949;ENDOPROTHESE CAROTIDIENNE, ABBOTT, RX ACCULINK.;7.8;0.0;25/04/2023;06/07/2023
3189771;GENOU, EMBASE DE REPRISE, NON CIMENTEE;1.18;0.0;01/01/2020;06/07/2023
3151662;GENOU, IMPLANT FEMORAL, UNICONDYLIEN OU UNICOMPARTIMENT, CIMENTE,GRP BIOIMPIANTI;5.36;0.0;01/09/2025;23/07/2025
3122376;E04.12;2.81;0.0;21/05/2005;15/03/2006
3149323;HANCHE, TIGE DE REPRISE, COL INCLUS, DROITE, MODULAIRE, CIMENTEE,I.CERAM;7.83;0.0;01/05/2019;06/07/2023
3167309;EPAULE, TIGE HUMERALE STANDARD, MODULAIRE;1.03;0.0;01/01/2020;06/07/2023
3141801;E04.12;5.42;0.0;07/06/2006;01/03/2014
3115689;IMPLANT CRANIO-MAXILLO-FACIAL, PLAQUE MICRO, NON DROITE,GEBRUDER MARTIN;7.77;0.0;07/07/2023;31/08/2025
3175711;OSTEOSYNTHESE, VIS D INTERFERENCE, NON RESORB, LIGAMENTOPLASTIE,VID INTERV MED;8.48;0.0;01/05/2019;06/07/2023
3168042;RACHIS, IMPLANT D'UNION LONGITUDINALE, TIGE,BIOTECHNI;6.99;0.0;01/05/2019;06/07/2023
3199491;IMPLANT OPHTALMOLOGIQUE, VISCO-ELASTIQUE, BAUSCH, DOMIVISC PHACO RC CRETE DE COQ;5.34;0.0;02/04/2018;20/09/2021
3104556;RACHIS, IMPLANT DANCRAGE, VIS SPECIFIQUE SIMPLE,SILONY MEDICAL;2.79;0.0;01/05/2019;06/07/2023
3107566;C01.12;2.64;0.0;30/06/2005;20/03/2009
3124895;B01.21;1.52;0.0;02/04/2018;20/09/2021
3158368;A05.1;5.34;0.0;02/04/2018;20/09/2021
3279110;D01.2;3.05;0.0;02/04/2018;20/09/2021
3415919;STIM CEREBRALE, BOSTON, VERCISE PC, UNE TELECOMMANDE ET UN KIT.;6.99;0.0;01/01/2021;23/12/2021
3492239;A02.27;7.01;0.0;21/05/2005;29/06/2006
3402087;STIMULATEUR CARDIAQUE SIMPLE CHAMBRE FREQ.ASSERV., C.P.I, PULSARMAX SR 1170;1.89;0.0;20/09/2012;14/09/2015
3407073;COAGUL TISSUS CARD PAR RADIOFR, ATRICURE, EPI-SENSE GUIDED COAGULATION SYSTEM;;0.0;;
3460736;IMPLANT COCH OU TRONC CEREBRAL, MED-EL, PROCESSEUR.;6.0;0.0;21/09/2021;06/07/2023
3442106;STIMULATION CEREBRALE, MEDTRONIC,ACTIVA PC, TELECOMMANDE;6.99;0.0;01/01/2021;06/07/2023
3453802;SONDE DE STIMULATEUR CARDIAQUE ENDOCAVITAIRE BIPOLAIRE;4.59;0.0;21/05/2005;29/06/2006
3462824;STIM CEREBRALE, BOSTON, VERCISE PC ET VERCISE GEVIA, UNE EXTENSION.;3.87;0.0;09/12/2022;06/07/2023
3458024;STIMULATEUR CARDIAQUE DOUBLE CHAMBRE FREQ.ASSERV., BIOTRONIK, EVIA DR-T;5.04;0.0;21/05/2005;29/06/2006
1125086;COAGUL TISSUS CARD PAR RADIOFR, ATRICURE, EPI-SENSE GUIDED COAGULATION SYSTEM;5.25;0.0;01/11/2013;06/07/2023
1189815;SOLUTE DE REHYDRATATION ORALE, LE CONDITIONNEMENT,NUTRICIA;6.2;0.0;24/10/2003;06/07/2023
1175983;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,CIMATEL;0.0;0.0;08/09/2003;06/07/2023
1134240;ALIMENT SANS GLUTEN, FARINE, 500 G,NOGLUDIS;2.25;0.0;03/04/2004;06/07/2023
1101803;ACCESSOIRES, SPRAY ANTI ADHESIF,EAKIN;1.59;0.0;03/04/2004;06/07/2023
1118287;PESSAIRE,OUEST MEDICAL;1.2;0.0;01/07/2019;06/07/2023
1186722;AUTOCONTROLE , 100 BANDELETTES, CAPTEURS OU ELECTRODES,SYLAMED;3.64;0.0;01/01/2022;06/07/2023
1101909;ALIMENT SANS GLUTEN, FARINE, 1000 G,COOPERATIVE U;4.5;0.0;03/04/2004;06/07/2023
1105899;NEUROSTIMULATION ELECTRIQUE TRANSCUTANEE, ELECTRODES SOUPLES,KINETEC;1.7;0.0;01/01/2023;30/06/2023
1151497;ALIMENT SANS GLUTEN, PATES, 500 G,LIDL;2.8;0.0;03/04/2004;06/07/2023
1192220;ALIMENT SANS GLUTEN, FARINE, 1000 G,PROCELI;1.43;0.0;15/02/2020;06/07/2023
1168380;ALIMENT SANS GLUTEN, FARINE, 500 G,NOGLUDIS;2.54;0.0;03/04/2004;06/07/2023
1134866;BOUTON DE GASTROSTOMIE, PROLONGATEUR ADAPTABLE, RENOUVELLEMENT,VYGON;1.14;0.0;25/02/2010;06/07/2023
1188224;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,MYHOMECARE;7.63;0.0;07/07/2023;03/07/2023
1116443;DRAINAGE, SONDE VESICALE A BALLONNET, A 3 VOIES.,CARDINAL HEALTH;6.21;0.0;07/07/2023;01/01/2025
1190132;DRAINAGE, SONDE VESICALE A BALLONNET, 2 VOIES,;3.62;0.0;07/07/2023;03/07/2023
1160830;AUTOCONTROLE, AUTOPIQUEUR,SYLAMED;1.2;0.0;01/07/2019;06/07/2023
1121250;ALIMENT SANS GLUTEN, FARINE, 500 G,BMD;1.2;0.0;01/07/2019;06/07/2023
1195796;PESSAIRE,OUEST MEDICAL;4.05;0.0;06/06/2005;11/05/2005
1122975;ALIMENT SANS GLUTEN, PAIN, 100 G,PROCELI;4.81;0.0;08/09/2003;06/07/2023
1110529;AUTOCONTROLE, APP POUR LECTURE AUTOMATIQUE GLYCEMIE,GROUPE SNM;7.63;0.0;01/01/2023;06/07/2023
1176741;ALIMENT SANS GLUTEN, FARINE, 1000 G,MOULIN CHAMB;4.5;0.0;03/04/2004;06/07/2023
1127435;DRAINAGE, SONDE VESICALE A BALLONNET, A 3 VOIES.,MYHOMECARE;1.46;0.0;07/07/2023;01/01/2025
1114266;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,ORTHO EUROPE;1.45;0.0;01/06/2024;31/03/2025
1153208;PESSAIRE,OUEST MEDICAL;1.92;0.0;03/04/2004;06/07/2023
1152060;BOUTON DE GASTROSTOMIE, PROLONGATEUR ADAPTABLE, RENOUVELLEMENT,OIARSO;2.35;0.0;07/07/2023;01/01/2025
1199535;AUTOCONTROLE, APP POUR LECTURE AUTOMATIQUE GLYCEMIE,AILSY;2.19;0.0;07/07/2023;01/01/2025
1156684;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,GIMED LAB;9.03;0.0;07/07/2023;31/05/2025
1168411;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,LABOKIT;2.4;0.0;03/04/2004;06/07/2023
1193780;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,STERILANCE;1.32;0.0;07/07/2023;09/08/2024
1154099;AUTOCONTROLE , SET DAUTOSURVEILLANCE DE LA GLYCEMIE,BIOGINE FARMA;3.31;0.0;10/08/2024;31/07/2025
1128044;AUTOCONTROLE, APP POUR LECTURE AUTOMATIQUE GLYCEMIE,GROUPE SNM;2.22;0.0;10/08/2024;31/07/2025
1138077;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,GIMED LAB;0.0;0.0;08/09/2003;06/07/2023
1181050;URO-GENITAL, ELECTROSTIMULATEUR NEUROMUSCULAIRE, ACHAT,VERITY MEDICAL;0.0;0.0;08/09/2003;06/07/2023
1107786;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,CIMATEL;2.74;0.0;07/07/2023;01/01/2025
1189270;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,CAMP SCANDINAV;0.0;0.0;08/09/2003;06/07/2023
